Series ID,Year,Period,Label,Value
CWUR0000SA0,1913,M01,1913 Jan,9.9
CWUR0000SA0,1913,M02,1913 Feb,9.8
CWUR0000SA0,1913,M03,1913 Mar,9.8
CWUR0000SA0,1913,M04,1913 Apr,9.9
CWUR0000SA0,1913,M05,1913 May,9.8
CWUR0000SA0,1913,M06,1913 Jun,9.8
CWUR0000SA0,1913,M07,1913 Jul,9.9
CWUR0000SA0,1913,M08,1913 Aug,10.0
CWUR0000SA0,1913,M09,1913 Sep,10.0
CWUR0000SA0,1913,M10,1913 Oct,10.1
CWUR0000SA0,1913,M11,1913 Nov,10.1
CWUR0000SA0,1913,M12,1913 Dec,10.1
CWUR0000SA0,1914,M01,1914 Jan,10.1
CWUR0000SA0,1914,M02,1914 Feb,10.0
CWUR0000SA0,1914,M03,1914 Mar,10.0
CWUR0000SA0,1914,M04,1914 Apr,9.9
CWUR0000SA0,1914,M05,1914 May,9.9
CWUR0000SA0,1914,M06,1914 Jun,10.0
CWUR0000SA0,1914,M07,1914 Jul,10.1
CWUR0000SA0,1914,M08,1914 Aug,10.2
CWUR0000SA0,1914,M09,1914 Sep,10.3
CWUR0000SA0,1914,M10,1914 Oct,10.2
CWUR0000SA0,1914,M11,1914 Nov,10.2
CWUR0000SA0,1914,M12,1914 Dec,10.2
CWUR0000SA0,1915,M01,1915 Jan,10.2
CWUR0000SA0,1915,M02,1915 Feb,10.1
CWUR0000SA0,1915,M03,1915 Mar,10.0
CWUR0000SA0,1915,M04,1915 Apr,10.1
CWUR0000SA0,1915,M05,1915 May,10.1
CWUR0000SA0,1915,M06,1915 Jun,10.2
CWUR0000SA0,1915,M07,1915 Jul,10.2
CWUR0000SA0,1915,M08,1915 Aug,10.2
CWUR0000SA0,1915,M09,1915 Sep,10.2
CWUR0000SA0,1915,M10,1915 Oct,10.3
CWUR0000SA0,1915,M11,1915 Nov,10.4
CWUR0000SA0,1915,M12,1915 Dec,10.4
CWUR0000SA0,1916,M01,1916 Jan,10.5
CWUR0000SA0,1916,M02,1916 Feb,10.5
CWUR0000SA0,1916,M03,1916 Mar,10.6
CWUR0000SA0,1916,M04,1916 Apr,10.7
CWUR0000SA0,1916,M05,1916 May,10.7
CWUR0000SA0,1916,M06,1916 Jun,10.9
CWUR0000SA0,1916,M07,1916 Jul,10.9
CWUR0000SA0,1916,M08,1916 Aug,11.0
CWUR0000SA0,1916,M09,1916 Sep,11.2
CWUR0000SA0,1916,M10,1916 Oct,11.3
CWUR0000SA0,1916,M11,1916 Nov,11.5
CWUR0000SA0,1916,M12,1916 Dec,11.6
CWUR0000SA0,1917,M01,1917 Jan,11.8
CWUR0000SA0,1917,M02,1917 Feb,12.0
CWUR0000SA0,1917,M03,1917 Mar,12.1
CWUR0000SA0,1917,M04,1917 Apr,12.6
CWUR0000SA0,1917,M05,1917 May,12.9
CWUR0000SA0,1917,M06,1917 Jun,13.0
CWUR0000SA0,1917,M07,1917 Jul,12.9
CWUR0000SA0,1917,M08,1917 Aug,13.1
CWUR0000SA0,1917,M09,1917 Sep,13.3
CWUR0000SA0,1917,M10,1917 Oct,13.6
CWUR0000SA0,1917,M11,1917 Nov,13.6
CWUR0000SA0,1917,M12,1917 Dec,13.8
CWUR0000SA0,1918,M01,1918 Jan,14.0
CWUR0000SA0,1918,M02,1918 Feb,14.2
CWUR0000SA0,1918,M03,1918 Mar,14.1
CWUR0000SA0,1918,M04,1918 Apr,14.3
