Series ID,Year,Period,Label,Value
CWUR0000SA0,1962,M01,1962 Jan,30.2
CWUR0000SA0,1962,M02,1962 Feb,30.2
CWUR0000SA0,1962,M03,1962 Mar,30.3
CWUR0000SA0,1962,M04,1962 Apr,30.4
CWUR0000SA0,1962,M05,1962 May,30.4
CWUR0000SA0,1962,M06,1962 Jun,30.4
CWUR0000SA0,1962,M07,1962 Jul,30.4
CWUR0000SA0,1962,M08,1962 Aug,30.4
CWUR0000SA0,1962,M09,1962 Sep,30.6
CWUR0000SA0,1962,M10,1962 Oct,30.6
CWUR0000SA0,1962,M11,1962 Nov,30.6
CWUR0000SA0,1962,M12,1962 Dec,30.6
CWUR0000SA0,1963,M01,1963 Jan,30.6
CWUR0000SA0,1963,M02,1963 Feb,30.6
CWUR0000SA0,1963,M03,1963 Mar,30.7
CWUR0000SA0,1963,M04,1963 Apr,30.7
CWUR0000SA0,1963,M05,1963 May,30.7
CWUR0000SA0,1963,M06,1963 Jun,30.8
CWUR0000SA0,1963,M07,1963 Jul,30.9
CWUR0000SA0,1963,M08,1963 Aug,30.9
CWUR0000SA0,1963,M09,1963 Sep,30.9
CWUR0000SA0,1963,M10,1963 Oct,31.0
CWUR0000SA0,1963,M11,1963 Nov,31.0
CWUR0000SA0,1963,M12,1963 Dec,31.1
CWUR0000SA0,1964,M01,1964 Jan,31.1
CWUR0000SA0,1964,M02,1964 Feb,31.1
CWUR0000SA0,1964,M03,1964 Mar,31.1
CWUR0000SA0,1964,M04,1964 Apr,31.1
CWUR0000SA0,1964,M05,1964 May,31.1
CWUR0000SA0,1964,M06,1964 Jun,31.2
CWUR0000SA0,1964,M07,1964 Jul,31.3
CWUR0000SA0,1964,M08,1964 Aug,31.2
CWUR0000SA0,1964,M09,1964 Sep,31.3
CWUR0000SA0,1964,M10,1964 Oct,31.3
CWUR0000SA0,1964,M11,1964 Nov,31.4
CWUR0000SA0,1964,M12,1964 Dec,31.4
CWUR0000SA0,1965,M01,1965 Jan,31.4
CWUR0000SA0,1965,M02,1965 Feb,31.4
CWUR0000SA0,1965,M03,1965 Mar,31.5
CWUR0000SA0,1965,M04,1965 Apr,31.6
CWUR0000SA0,1965,M05,1965 May,31.6
CWUR0000SA0,1965,M06,1965 Jun,31.8
CWUR0000SA0,1965,M07,1965 Jul,31.8
CWUR0000SA0,1965,M08,1965 Aug,31.8
CWUR0000SA0,1965,M09,1965 Sep,31.8
CWUR0000SA0,1965,M10,1965 Oct,31.9
CWUR0000SA0,1965,M11,1965 Nov,31.9
CWUR0000SA0,1965,M12,1965 Dec,32.0
CWUR0000SA0,1966,M01,1966 Jan,32.0
CWUR0000SA0,1966,M02,1966 Feb,32.2
CWUR0000SA0,1966,M03,1966 Mar,32.3
CWUR0000SA0,1966,M04,1966 Apr,32.5
CWUR0000SA0,1966,M05,1966 May,32.5
CWUR0000SA0,1966,M06,1966 Jun,32.6
CWUR0000SA0,1966,M07,1966 Jul,32.7
CWUR0000SA0,1966,M08,1966 Aug,32.9
CWUR0000SA0,1966,M09,1966 Sep,32.9
CWUR0000SA0,1966,M10,1966 Oct,33.1
CWUR0000SA0,1966,M11,1966 Nov,33.1
CWUR0000SA0,1966,M12,1966 Dec,33.1
CWUR0000SA0,1967,M01,1967 Jan,33.1
CWUR0000SA0,1967,M02,1967 Feb,33.1
CWUR0000SA0,1967,M03,1967 Mar,33.2
CWUR0000SA0,1967,M04,1967 Apr,33.3
CWUR0000SA0,1967,M05,1967 May,33.4
CWUR0000SA0,1967,M06,1967 Jun,33.5
CWUR0000SA0,1967,M07,1967 Jul,33.6
CWUR0000SA0,1967,M08,1967 Aug,33.7
CWUR0000SA0,1967,M09,1967 Sep,33.8
CWUR0000SA0,1967,M10,1967 Oct,33.9
CWUR0000SA0,1967,M11,1967 Nov,34.0
CWUR0000SA0,1967,M12,1967 Dec,34.1
CWUR0000SA0,1968,M01,1968 Jan,34.2
CWUR0000SA0,1968,M02,1968 Feb,34.3
CWUR0000SA0,1968,M03,1968 Mar,34.5
CWUR0000SA0,1968,M04,1968 Apr,34.6
CWUR0000SA0,1968,M05,1968 May,34.7
CWUR0000SA0,1968,M06,1968 Jun,34.9
CWUR0000SA0,1968,M07,1968 Jul,35.1
CWUR0000SA0,1968,M08,1968 Aug,35.2
CWUR0000SA0,1968,M09,1968 Sep,35.3
CWUR0000SA0,1968,M10,1968 Oct,35.5
CWUR0000SA0,1968,M11,1968 Nov,35.6
CWUR0000SA0,1968,M12,1968 Dec,35.7
CWUR0000SA0,1969,M01,1969 Jan,35.8
CWUR0000SA0,1969,M02,1969 Feb,36.0
CWUR0000SA0,1969,M03,1969 Mar,36.3
